id,po_line_id,source_schedule_key,schedule_version,scheduled_quantity,requested_date,confirmed_date,expected_date,schedule_status,scenario_ids
ebd525b6-9804-5be2-b2ee-d1aa07819847,bc1b72de-5c04-5c9e-a521-5dafe99d39ad,POL-00000001-SCH-1,1,181.0000,2025-11-24,2025-11-27,2025-11-27,closed,
9965cbd7-5b55-5a23-bc53-ff5baae19d7f,3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0,POL-00000002-SCH-1,1,5520.0000,2024-11-27,,2024-11-27,closed,
d77a6bca-2f13-5da9-ac56-f14963d3c63d,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,POL-00000003-SCH-1,1,9120.0000,2025-04-20,2025-04-20,2025-04-20,closed,demand_shock
ded9681b-17c2-506e-a867-c140211c5158,5f1ef0f1-e915-5eea-80fc-279e37c35736,POL-00000004-SCH-1,1,131.0000,2025-02-05,2025-02-05,2025-02-05,closed,
7967e169-c3f5-562a-941b-13435f27c445,9bb31f47-5933-5c0b-96a9-a7cab9768925,POL-00000005-SCH-1,1,24.0000,2025-07-16,2025-07-19,2025-07-19,closed,
0795bf89-f47d-5fa3-9d75-4cb6f37ba46a,169c8472-68ac-5f94-a83e-4407991dbbed,POL-00000006-SCH-1,1,4800.0000,2024-10-03,2024-10-05,2024-10-05,closed,
ee588271-e8fa-53d0-99d3-f712f6171e46,a6f46d12-2805-52d3-813c-4a7419e40b54,POL-00000007-SCH-1,1,117.0000,2024-11-05,2024-11-07,2024-11-07,closed,
dddf0697-4cf2-5ef4-9a3f-03aab8307cd2,6b9730b6-21eb-505f-a45d-9c57d3c86fc7,POL-00000008-SCH-1,1,84.0000,2026-03-12,2026-03-14,2026-03-14,closed,split_schedule
508f074b-fe9e-50cc-8bfe-a5099025b3b9,6b9730b6-21eb-505f-a45d-9c57d3c86fc7,POL-00000008-SCH-2,1,84.0000,2026-03-18,2026-03-21,2026-03-21,closed,split_schedule
10e8b6e0-191f-504a-a2fa-41e60e5d25ae,79420c16-afb5-56df-a2b4-d93e71e71f5d,POL-00000009-SCH-1,1,5616.0000,2025-11-14,,2025-11-15,closed,
b14c44df-0c74-5a05-8bac-5fc6eabaffb8,a0a10f6d-12c8-5674-9741-c3731075b0f2,POL-00000010-SCH-1,1,32320.0000,2025-05-26,2025-05-29,2025-05-29,closed,split_schedule
929796ad-fe92-5925-9c92-1e8fe0c3c503,a0a10f6d-12c8-5674-9741-c3731075b0f2,POL-00000010-SCH-2,1,32320.0000,2025-06-02,2025-06-04,2025-06-04,closed,split_schedule
370f9a2b-a285-5dd8-a21c-2ebed018a44d,a0a10f6d-12c8-5674-9741-c3731075b0f2,POL-00000010-SCH-3,1,32320.0000,2025-06-03,2025-06-06,2025-06-06,closed,split_schedule
d6b1d289-7035-55a0-8324-d2c05dd3f2aa,3db4fcb7-69b2-5566-942b-e7d4c58dee1e,POL-00000011-SCH-1,1,10.7500,2024-10-30,2024-10-31,2024-10-31,closed,missing_supplier_signal;split_schedule
96f06252-4542-5d54-9daa-1dbec553ffac,3db4fcb7-69b2-5566-942b-e7d4c58dee1e,POL-00000011-SCH-2,1,10.7500,2024-11-06,2024-11-06,2024-11-06,closed,missing_supplier_signal;split_schedule
d4844397-a6b5-55f8-a547-40e27ca44361,3db4fcb7-69b2-5566-942b-e7d4c58dee1e,POL-00000011-SCH-3,1,10.7500,2024-11-13,2024-11-16,2024-11-16,closed,missing_supplier_signal;split_schedule
1a4e7ec9-d5b5-5b58-b20f-f48e6de05d02,3db4fcb7-69b2-5566-942b-e7d4c58dee1e,POL-00000011-SCH-4,1,10.7500,2024-11-20,2024-11-21,2024-11-21,closed,missing_supplier_signal;split_schedule
c7e5701e-c04d-52ae-bff6-34e65e9b8499,34441233-560b-5b65-a286-5108f76a33ef,POL-00000012-SCH-1,1,15240.0000,2025-10-05,2025-10-05,2025-10-05,closed,
bba009ae-261d-5922-8312-ec51d4ed246f,25187d66-acb0-5687-9e42-b33e6a037e1c,POL-00000013-SCH-1,1,66.0000,2025-04-29,2025-04-30,2025-04-30,closed,
967b9f71-cefb-5c29-b607-6cf05b44c8e6,08744c8d-0e61-5f54-b4a6-d04b0ab974a6,POL-00000014-SCH-1,1,27120.0000,2025-06-27,2025-06-29,2025-06-29,closed,demand_shock
218fcf71-8a95-5fc4-920f-7457347dc297,c5ca62a4-2f0f-5b33-806a-6be8fce15bf5,POL-00000015-SCH-1,1,9600.0000,2025-07-27,2025-07-30,2025-07-30,closed,
5fec8aa6-8e67-5961-88c2-cbcdb27b0e3d,e05643b4-50bf-5570-ae8b-26fb0498c7ed,POL-00000016-SCH-1,1,25920.0000,2024-11-24,2024-11-25,2024-11-25,closed,missing_inventory_signal
0d0d5e1e-b128-5439-9e12-070703d3b97e,3b61bbac-32ae-53ef-a93b-14c36ce3f69e,POL-00000017-SCH-1,1,202.0000,2025-04-25,2025-04-27,2025-04-27,closed,missing_inventory_signal
81f9e8eb-1a83-58ac-8ce4-9149c95e3e15,fbc77c24-ce2c-5380-80fc-2c89e3eabce8,POL-00000018-SCH-1,1,29520.0000,2025-07-11,2025-07-13,2025-07-13,closed,
bad7a2db-4856-5c69-949e-db85e18733d2,b0ee4c5a-a8c3-5b7a-b085-850298a7b7e1,POL-00000019-SCH-1,1,149.0000,2024-09-29,2024-10-02,2024-10-02,closed,
93bd76c5-2408-50d6-88a7-344f17e76ed8,ec607270-f5c5-5f93-82ba-c63e80a5f2b4,POL-00000020-SCH-1,1,71.0000,2025-05-28,2025-05-29,2025-05-29,closed,
af1e9b36-63ac-5f99-a8e8-953f937ab3fc,f66a333a-1041-5291-a7dd-abd95a50b8b1,POL-00000021-SCH-1,1,24240.0000,2025-01-30,2025-02-01,2025-02-01,closed,
5e7f5e5a-f368-5cfe-b304-98753df85b13,b718bd51-ed12-52f8-956f-2efc43f07066,POL-00000022-SCH-1,1,24120.0000,2025-09-05,2025-09-07,2025-09-07,closed,
b1144ddb-d7ca-5dcb-83ce-c15a89d59e09,fd8fdabe-4ad7-5d84-b597-bf2fff4848fb,POL-00000023-SCH-1,1,186.0000,2026-01-20,2026-01-22,2026-01-22,closed,
ebe9b7bb-d748-57db-bfa1-662dfcb63db7,d22827f7-a7bf-5bd2-bf0b-a5a1083a39fa,POL-00000024-SCH-1,1,54.0000,2025-03-12,2025-03-12,2025-03-12,closed,supplier_deterioration
4ac22c1c-7116-5ae6-bab1-9fd410198105,80d83a2c-f968-5bd4-8921-b6de7fbf49c4,POL-00000025-SCH-1,1,33.0000,2024-11-23,2024-11-23,2024-11-23,closed,demand_shock;split_schedule
8d0b3bcb-c677-5fd5-8d7e-7480c5d04b96,80d83a2c-f968-5bd4-8921-b6de7fbf49c4,POL-00000025-SCH-2,1,33.0000,2024-11-28,2024-11-28,2024-11-28,closed,demand_shock;split_schedule
d9c72cd8-4ae5-5b9e-84e4-3e453dd004d2,06cfe717-1ad3-594f-a89d-87ce247576d3,POL-00000026-SCH-1,1,3120.0000,2026-03-27,2026-03-28,2026-03-28,closed,split_schedule
e87449c5-127d-5626-b07b-3249d82c79d5,06cfe717-1ad3-594f-a89d-87ce247576d3,POL-00000026-SCH-2,1,3120.0000,2026-04-03,2026-04-05,2026-04-05,closed,split_schedule
943bbee0-470a-54b0-9972-4abc54d69f7f,47145abc-775b-5315-91bd-88821a91f93f,POL-00000027-SCH-1,1,78.0000,2026-04-08,2026-04-08,2026-04-08,closed,
78b29eb9-3134-53bd-80ec-bcf358613cc6,98b839a9-1729-5594-9052-7c1aeab0e49f,POL-00000028-SCH-1,1,840.0000,2025-04-08,2025-04-08,2025-04-08,closed,
48997ec6-bede-546f-bf2a-84be0d3e8352,1bf76ce1-1bb3-5c61-ad18-3158ab3ad95f,POL-00000029-SCH-1,1,78.0000,2026-04-10,2026-04-13,2026-04-13,closed,
a81b5313-a2f4-53ff-a786-24042adee553,195f6276-08bb-5bce-b97e-105457612217,POL-00000030-SCH-1,1,12240.0000,2025-08-23,2025-08-26,2025-08-26,closed,missing_inventory_signal
68ecb27a-290c-58fb-bc70-395ea8b229d0,c462ad18-3ac3-55ba-9e84-884e1028f93a,POL-00000031-SCH-1,1,35.0000,2025-08-21,2025-08-24,2025-08-24,closed,
54ad49c6-273e-5ea7-a5e6-b9e83971fc80,0011c8b0-49e0-54b0-b611-a326d9a531f5,POL-00000032-SCH-1,1,18960.0000,2024-10-24,2024-10-24,2024-10-24,closed,demand_shock
ed1bcbd8-919e-5201-8394-8e481d92f7f5,d17b1755-7202-55ed-9061-0f3d2c004bb4,POL-00000033-SCH-1,1,29760.0000,2026-01-05,2026-01-07,2026-01-07,closed,
39b7f5aa-1af0-5083-bd1a-c04b097cacea,fd59b3a2-4e5c-5d79-a6eb-5df370c7cab3,POL-00000034-SCH-1,1,152.0000,2026-03-11,2026-03-11,2026-03-11,closed,
cc61a0e4-838f-5f92-89d5-1283549bfe33,ac5d1971-a942-5f45-8a71-1e4c34dcc0e0,POL-00000035-SCH-1,1,1080.0000,2025-09-17,2025-09-17,2025-09-17,closed,
67eb14fc-8979-5abb-9885-7f3c559cbbb4,2f5b3101-e6ae-565e-952d-dd4a1f9d3dd5,POL-00000036-SCH-1,1,1092.0000,2026-02-01,2026-02-04,2026-02-04,closed,
0552cf5a-cc6b-53a6-aad8-9bb80ff55532,be4699fb-24f2-5244-98aa-bca3fe216696,POL-00000037-SCH-1,1,3540.0000,2024-12-09,2024-12-12,2024-12-12,closed,split_schedule
4949be60-a516-595a-9166-85971768232f,be4699fb-24f2-5244-98aa-bca3fe216696,POL-00000037-SCH-2,1,3540.0000,2024-12-12,2024-12-15,2024-12-15,closed,split_schedule
6afa3f0d-8cf0-517f-8837-fd575c8c8a31,fb3447b6-0c01-5b9e-8ef2-3bbc0617c190,POL-00000038-SCH-1,1,3870.0000,2026-05-12,2026-05-14,2026-05-14,closed,split_schedule
b2e57e24-7051-51d7-a680-54efacec168c,fb3447b6-0c01-5b9e-8ef2-3bbc0617c190,POL-00000038-SCH-2,1,3870.0000,2026-05-15,2026-05-17,2026-05-17,closed,split_schedule
9cb9dcfa-c12a-5ece-8beb-f8ec3e4e2c7e,fb3447b6-0c01-5b9e-8ef2-3bbc0617c190,POL-00000038-SCH-3,1,3870.0000,2026-05-19,2026-05-22,2026-05-22,closed,split_schedule
273ba526-6682-5b35-8c65-650b3b4bf842,fb3447b6-0c01-5b9e-8ef2-3bbc0617c190,POL-00000038-SCH-4,1,3870.0000,2026-06-07,2026-06-07,2026-06-07,closed,split_schedule
56ad00d3-d300-59ec-a349-9510ec6c04c5,a00c208a-f092-5a8d-ba9d-bc4b9abf710d,POL-00000039-SCH-1,1,46560.0000,2025-04-30,2025-05-03,2025-05-03,closed,
624b405a-b04d-5474-998c-cc8cc7ef571e,e4580ee9-c958-5e49-8a90-a7245ac1bdc9,POL-00000040-SCH-1,1,2124.0000,2026-04-17,2026-04-19,2026-04-19,closed,
dc95b172-00b1-5268-a487-ba1216f4c54c,e8c1edd8-91d7-5faa-b016-b04e73ca09ff,POL-00000041-SCH-1,1,486.0000,2025-02-27,2025-02-28,2025-02-28,closed,
b4926eee-5f4f-52eb-959e-097dc3d1b95d,ce11f1e1-7d3d-51fc-9a8f-e4e3942c531c,POL-00000042-SCH-1,1,113.0000,2026-01-08,2026-01-08,2026-01-08,closed,
1b820ef1-a009-514f-a7bc-1f0cb015021b,8d48c95d-aa17-551b-9dab-c5013cba4766,POL-00000043-SCH-1,1,1278.0000,2024-11-26,2024-11-28,2024-11-28,closed,
bd3d5a02-5c40-5bc0-b19b-8b244c91434f,48371b30-3edd-53dc-9c05-07084ba3c371,POL-00000044-SCH-1,1,10560.0000,2026-04-28,2026-04-28,2026-04-28,closed,
5f72215e-1d31-5152-89f9-46e9cece939d,1da9178b-18a7-5908-8654-cdfdbdef1e0b,POL-00000045-SCH-1,1,120.0000,2025-04-26,2025-04-29,2025-04-29,closed,
95a637b5-5e90-5e74-b385-5b6d61f7eb6f,5d1de95a-e527-55df-8506-5944f16a4d1a,POL-00000046-SCH-1,1,35280.0000,2025-04-03,2025-04-03,2025-04-03,closed,
61c4d639-29ba-5eac-a021-866ec8d6ab23,268047c5-7bb6-5a2c-8413-c4bf1828da77,POL-00000047-SCH-1,1,117.0000,2025-04-19,2025-04-19,2025-04-19,closed,
095f012c-2ece-5623-8a61-e7c49d36343d,aa536455-e8a9-50ac-addd-12bc7d8439df,POL-00000048-SCH-1,1,49.6667,2026-03-05,2026-03-08,2026-03-08,closed,split_schedule
71755966-2fc3-5ae3-a9d2-4bec2ddb7b24,aa536455-e8a9-50ac-addd-12bc7d8439df,POL-00000048-SCH-2,1,49.6667,2026-03-12,,2026-03-13,closed,split_schedule
04a4b232-a5d5-5c3c-9c82-7b92e874700f,aa536455-e8a9-50ac-addd-12bc7d8439df,POL-00000048-SCH-3,1,49.6666,2026-03-19,2026-03-22,2026-03-22,closed,split_schedule
