id,operational_receipt_id,po_line_id,receipt_document,receipt_item_sequence,transaction_type,source_quantity,source_uom,base_quantity,posted_at,corrects_receipt_id,late_receipt_flag,need_date,evaluation_only_flag,source_visibility,scenario_ids,scenario_types
db0e06b2-1f44-5262-b197-e3a3d186b540,,20ba59f3-1b38-53bc-bbf2-181166b52f9e,RCV-000000317,1,receipt,235.3257,EA,235.3257,2026-08-06T14:01:00+10:00,,true,2026-08-04,true,post_as_of_hidden_realisation,,
47daee3c-d797-5ede-8b44-79b5a09f4519,,5863a450-141c-52b2-8fc1-2c4f85ee9584,RCV-000000318,1,receipt,41.9191,EA,41.9191,2026-07-12T14:01:00+10:00,,true,2026-07-07,true,post_as_of_hidden_realisation,,
28b43bbd-aedf-55a0-aed2-915df93404fe,,69a65c3d-a7ff-5cf9-88d3-bbdbb227db1f,RCV-000000319,1,receipt,5398.7977,EA,5398.7977,2026-08-06T14:01:00+10:00,,true,2026-08-04,true,post_as_of_hidden_realisation,,
f093af79-8642-5b73-aa9f-20a31385b5cd,,f693e7f8-8b66-5437-a2ad-0af47c8511ba,RCV-000000321,1,receipt,11.4415,EA,11.4415,2026-07-17T14:01:00+10:00,,false,2026-07-18,true,post_as_of_hidden_realisation,,
5cb1c8b0-d931-5949-a97a-c810e0ab173b,,5db09946-3506-5ce9-a2a3-6a726b8c4b94,RCV-000000324,1,receipt,28.7069,EA,28.7069,2026-07-07T14:01:00+10:00,,true,2026-06-29,true,post_as_of_hidden_realisation,,
a3139960-4e30-5759-b499-5f8e61ca0507,,84f967e7-b08d-56de-be1d-10dfdf0dc623,RCV-000000331,1,receipt,10.1104,EA,10.1104,2026-07-28T14:01:00+10:00,,true,2026-07-27,true,post_as_of_hidden_realisation,340d81af-cd2e-5eb5-9b79-8ef9d3f606f0;031e3dfe-123d-575e-8e53-69c5c7c977df,missing_inventory_signal;split_schedule
58e8afc2-809c-5250-9ce6-d8c0d186e6ef,,84f967e7-b08d-56de-be1d-10dfdf0dc623,RCV-000000332,1,receipt,10.1104,EA,10.1104,2026-07-27T14:02:00+10:00,,false,2026-07-27,true,post_as_of_hidden_realisation,340d81af-cd2e-5eb5-9b79-8ef9d3f606f0;031e3dfe-123d-575e-8e53-69c5c7c977df,missing_inventory_signal;split_schedule
06e9fa5b-143a-5411-b536-616e937063c4,,1274e6f3-b6af-59f2-8b15-ec5273ce784b,RCV-000000333,1,receipt,702.6145,EA,702.6145,2026-08-07T14:01:00+10:00,,true,2026-08-04,true,post_as_of_hidden_realisation,,
016f1018-2eeb-5c67-834f-17a3d9b61a74,,4f870043-6859-5bae-a261-596bfefeae64,RCV-000000334,1,receipt,12318.4489,EA,12318.4489,2026-08-14T14:01:00+10:00,,true,2026-08-04,true,post_as_of_hidden_realisation,,
5055b970-8b5d-59d1-8d11-329b50d0f7e8,,5096eb4b-57a6-5e02-9cb5-80fcce3dc454,RCV-000000336,1,receipt,12.8687,EA,12.8687,2026-07-27T14:01:00+10:00,,false,2026-07-29,true,post_as_of_hidden_realisation,96b46305-6814-59f2-93bd-267f43e5b2cd,split_schedule
f3a4eed8-aec5-587e-9393-23c0138ae4dc,,28e402f4-13cf-5b10-9fc1-61be6b12e430,RCV-000000337,1,receipt,1724.6259,EA,1724.6259,2026-07-08T14:01:00+10:00,,false,2026-07-08,true,post_as_of_hidden_realisation,909a3717-11c4-54ef-8ea3-2ab7096e5915,split_schedule
22069382-1e1e-5169-9553-24e43e5d025f,,97b7ba0f-447c-5992-85e9-a76792aac805,RCV-000000338,1,receipt,4447.1933,EA,4447.1933,2026-08-07T14:01:00+10:00,,true,2026-08-04,true,post_as_of_hidden_realisation,,
