id,product_id,site_id,safety_stock_quantity,policy_source,substitution_group,criticality,effective_from,effective_to
25dd3505-d09d-56e5-81e1-834db63bfecc,809cf264-7def-5354-9470-0a2384ba5a22,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,178.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
ff1f5d8a-85b2-51f4-bf81-0edfb4aa1841,809cf264-7def-5354-9470-0a2384ba5a22,cd80660b-3e07-58ef-88fb-4dfd4c14f755,125.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
7eaf9071-1adb-5d89-88ed-ad73479572de,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,100.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
4645de0a-0e9f-5e32-a321-7ef014287e88,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,cd80660b-3e07-58ef-88fb-4dfd4c14f755,94.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
7d6ce585-5ba0-51aa-889e-313f80175eff,c893506d-df7e-55aa-9afa-b952b5e81a69,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,75.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
0fdd9969-fdd5-5d04-bd21-fbbedcb2d7d4,c893506d-df7e-55aa-9afa-b952b5e81a69,cd80660b-3e07-58ef-88fb-4dfd4c14f755,86.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
5d00d24c-d8d4-55ba-8e6f-b8d1a92d8ece,fe8d9660-d333-56ab-a5ca-bb18ef310089,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,227.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
d1985c72-4585-560d-bd8b-0a623b4bd46f,fe8d9660-d333-56ab-a5ca-bb18ef310089,cd80660b-3e07-58ef-88fb-4dfd4c14f755,238.0000,synthetic_policy_v1,SUB-0000,standard,2024-07-01T09:00:00+10:00,
c4067ea4-f251-51ff-ba25-e3941e19c42b,83051d14-4fa3-53bd-ac60-523a406fc21f,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,249.0000,synthetic_policy_v1,SUB-0000,production_critical,2024-07-01T09:00:00+10:00,
81932e2d-4e42-5e79-91f0-3be5a47ab81c,83051d14-4fa3-53bd-ac60-523a406fc21f,cd80660b-3e07-58ef-88fb-4dfd4c14f755,273.0000,synthetic_policy_v1,SUB-0000,service_critical,2024-07-01T09:00:00+10:00,
