id,po_line_id,source_system_id,source_po_number,source_line_number,valid_from,valid_to,correction_reason
91a8198b-a698-50c3-b51c-f273e5b74c48,bc1b72de-5c04-5c9e-a521-5dafe99d39ad,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000001,1,2025-11-13T09:00:00+10:00,,
092715f6-dd2c-5b14-83b1-f71e714b06dc,3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000001,2,2024-11-15T09:00:00+10:00,,
09723341-6cf3-5721-b732-9a985b4e4616,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000002,3,2025-02-15T09:00:00+10:00,,
5a089c1c-dffa-5d71-acf8-a9acc674b1fa,5f1ef0f1-e915-5eea-80fc-279e37c35736,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000002,4,2024-12-22T09:00:00+10:00,,
391890ee-36b7-5d40-bff1-e388a4ae62d8,9bb31f47-5933-5c0b-96a9-a7cab9768925,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000002,5,2025-06-07T09:00:00+10:00,,
961af038-ca88-5d3c-97d1-b456be6a3569,169c8472-68ac-5f94-a83e-4407991dbbed,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000003,6,2024-08-17T09:00:00+10:00,,
ef7b7a96-1c09-54a8-98b8-cbaebc34acdc,a6f46d12-2805-52d3-813c-4a7419e40b54,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000003,7,2024-10-21T09:00:00+10:00,,
e06717eb-d845-553d-8424-a8226f36a37e,6b9730b6-21eb-505f-a45d-9c57d3c86fc7,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000003,8,2026-01-24T09:00:00+10:00,,
529be1dd-2b29-502a-8cf3-673a674aa326,79420c16-afb5-56df-a2b4-d93e71e71f5d,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000004,9,2025-11-03T09:00:00+10:00,,
f8aeaa25-a238-5415-af6b-cc603d4f2765,a0a10f6d-12c8-5674-9741-c3731075b0f2,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000004,10,2025-03-20T09:00:00+10:00,,
