id,po_line_id,source_load_id,product_id,site_id,po_supplier_id,amendment_version,ordered_quantity,order_uom,base_quantity,need_date,requested_date,line_status,effective_at,unit_price_aud,line_value_aud,scenario_ids,scenario_types,critical_order_flag
08d9cd03-92ba-5a81-9bd5-1223aa42fc90,bc1b72de-5c04-5c9e-a521-5dafe99d39ad,52daff6b-2e12-5836-9c79-9713f4d30b59,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,1,181.0000,EA,181.0000,2025-12-05,2025-12-05,closed,2025-11-13T09:00:00+10:00,128.78,23309.18,,,false
dfc85d61-9f85-5426-af85-49ac2fd2f73d,3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0,52daff6b-2e12-5836-9c79-9713f4d30b59,b94cba32-e7de-5d7c-afea-23fba919ed21,cd80660b-3e07-58ef-88fb-4dfd4c14f755,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,1,46.0000,PALLET,5520.0000,2024-12-06,2024-12-02,closed,2024-11-15T09:00:00+10:00,83.88,463017.60,,,false
037c315e-1915-5e4e-b838-8ae275c5f299,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,52daff6b-2e12-5836-9c79-9713f4d30b59,9b4cace9-899f-537b-b7be-bed7f160dcf2,cd80660b-3e07-58ef-88fb-4dfd4c14f755,b019f662-4041-56d7-947a-ad0e19cbf3e5,1,19.0000,PALLET,9120.0000,2025-04-17,2025-04-12,closed,2025-02-15T09:00:00+10:00,323.60,2951232.00,f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,demand_shock,false
6bd5ede3-befc-533b-8f92-e42037ef3c8f,5f1ef0f1-e915-5eea-80fc-279e37c35736,52daff6b-2e12-5836-9c79-9713f4d30b59,5a2c36f8-ff5b-53d9-9352-fac73932d34f,cd80660b-3e07-58ef-88fb-4dfd4c14f755,b019f662-4041-56d7-947a-ad0e19cbf3e5,1,157.0000,PALLET,75360.0000,2026-03-24,2026-03-23,closed,2026-02-20T09:00:00+10:00,401.11,30227649.60,,,false
b2324bc3-db9d-5db6-adf2-f4e6054a832e,9bb31f47-5933-5c0b-96a9-a7cab9768925,52daff6b-2e12-5836-9c79-9713f4d30b59,733a52f6-ddae-5ec5-a1d3-e06d5ca3460e,cd80660b-3e07-58ef-88fb-4dfd4c14f755,b019f662-4041-56d7-947a-ad0e19cbf3e5,1,79.0000,CASE,1896.0000,2025-07-18,2025-07-18,closed,2025-06-10T09:00:00+10:00,422.45,800965.20,,,false
77da1e17-8790-5d62-b35a-73db84365ddc,169c8472-68ac-5f94-a83e-4407991dbbed,52daff6b-2e12-5836-9c79-9713f4d30b59,156f1b61-81f0-5bee-8acc-b26bfd4d94be,cd80660b-3e07-58ef-88fb-4dfd4c14f755,58bb201a-b67a-5aa2-81e1-29ab62d99704,1,200.0000,CASE,4800.0000,2026-01-02,2026-01-01,closed,2025-12-24T09:00:00+10:00,415.21,1993008.00,,,false
03524d2c-4921-598a-b5d8-0d1d8c9f0fe1,a6f46d12-2805-52d3-813c-4a7419e40b54,52daff6b-2e12-5836-9c79-9713f4d30b59,e6a7fc53-496a-5ae2-a882-4d4bf1223c4c,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,69943b6b-c286-5006-bfa5-bce4290c448f,1,117.0000,EA,117.0000,2024-11-12,2024-11-12,closed,2024-10-21T09:00:00+10:00,88.30,10331.10,,,false
926b3a0e-80bd-596f-8083-18b7d90f85b4,6b9730b6-21eb-505f-a45d-9c57d3c86fc7,52daff6b-2e12-5836-9c79-9713f4d30b59,156f1b61-81f0-5bee-8acc-b26bfd4d94be,cd80660b-3e07-58ef-88fb-4dfd4c14f755,69943b6b-c286-5006-bfa5-bce4290c448f,1,7.0000,CASE,168.0000,2026-03-11,2026-03-08,closed,2026-01-24T09:00:00+10:00,219.47,36870.96,9f7993a5-8e41-5a73-aebb-922cc38f1e39,split_schedule,false
afe27775-a097-5a69-826b-de49b31566f6,79420c16-afb5-56df-a2b4-d93e71e71f5d,52daff6b-2e12-5836-9c79-9713f4d30b59,809cf264-7def-5354-9470-0a2384ba5a22,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,69943b6b-c286-5006-bfa5-bce4290c448f,1,117.0000,CASE,5616.0000,2025-11-15,2025-11-12,closed,2025-11-03T09:00:00+10:00,161.34,906085.44,,,false
f2cb4fe9-01b6-536b-8745-ef2bd191f4f3,a0a10f6d-12c8-5674-9741-c3731075b0f2,52daff6b-2e12-5836-9c79-9713f4d30b59,36da40b4-9e68-5588-9074-f6f8ee0422d2,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,69943b6b-c286-5006-bfa5-bce4290c448f,1,202.0000,PALLET,48480.0000,2025-05-31,2025-05-31,closed,2025-03-20T09:00:00+10:00,457.00,22155360.00,b1d3b62c-1272-57ee-b639-785fa11a605b,split_schedule,false
