id,source_system_id,po_number,synthetic_data_flag
f793ba36-2e88-58a1-9080-44c283419b25,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000001,true
4875aa72-2311-59d7-877f-b6e30c4d6ff6,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000002,true
d3b2c071-3c7a-5013-8805-8798f670fb50,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000003,true
40a14704-a926-51cb-8357-51d52efdd60f,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000004,true
1a11e1ba-21aa-5a34-9990-3e3b511c3c2b,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000005,true
b23f6021-a5db-5e74-889a-3e92fd9b5b12,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000006,true
34809ba7-373d-5b1f-9dae-0b3ce60d2db8,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000007,true
1e9c5bd9-e5df-57e6-bb78-0b3b6b648f0f,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000008,true
da0e2aa9-919e-535c-896a-11f346b6c05b,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000009,true
c5fc2e44-2aa7-5cee-b261-bb3db2691b8d,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000010,true
2274f736-e941-57b1-aa86-f8a49e7dabc4,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000011,true
21f9a97f-08db-514d-bba7-d2e58cca9448,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000012,true
2029517c-86b2-54de-b675-268914448c6f,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000013,true
f8f74e83-d6df-5de1-ae3d-d427f21e1b44,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000014,true
6b7388e2-f438-5dd9-92c6-72c71fe43fda,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000015,true
621cb04e-e5c4-5410-8775-f6fe13f6bf0e,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000016,true
5b951ba1-33a9-5680-a64f-88aec4ac56be,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000017,true
53207493-7d11-549e-b25d-da7cf17a7017,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000018,true
1fe40671-790b-5a79-b202-977187e7d09b,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000019,true
0ba70863-3542-53c9-9108-f970955bdef9,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000020,true
ac929c29-a5cd-5d26-8ab2-e1a9a694ad7c,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000021,true
dc7f2dc2-539d-5a92-98ea-b3506774ef08,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000022,true
3702cdf5-4182-5e94-b351-5b1bc374b923,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000023,true
7066352e-bb46-5084-83b4-5007e2120a49,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000024,true
197720a7-7c32-55ff-ada8-c0daf9925e7f,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000025,true
d33eb42c-2fca-594a-b3ce-3ffe8de897f5,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000026,true
403ed1cf-b200-5aa4-8c11-972eac15c82f,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000027,true
06f1bbfa-9a98-5ae9-9443-c72b3336a904,c169851f-18a3-51fb-a3fb-9af1d41a47ef,PO-0000028,true
