scenario_id,scenario_type,latent_visible_classification,affected_entity_type,affected_key,start_date,end_date,seed_reference,intended_test_purpose,desired_score_result
f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,demand_shock,visible,purchase_order_line,POL-00000003,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
9f7993a5-8e41-5a73-aebb-922cc38f1e39,split_schedule,visible,purchase_order_line,POL-00000008,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
b1d3b62c-1272-57ee-b639-785fa11a605b,split_schedule,visible,purchase_order_line,POL-00000010,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
f0d8a5b9-cff2-5b01-94da-6c05f67a421e,missing_supplier_signal,latent,purchase_order_line,POL-00000011,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
21a6ea2b-8786-5e0c-ae0b-7e8d16bf4f31,split_schedule,visible,purchase_order_line,POL-00000011,2026-05-18,2026-06-01,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
f014c724-3882-5284-8fe6-db2ca6ac0f74,demand_shock,visible,purchase_order_line,POL-00000014,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
651aa80e-cd35-59f5-a1ae-f63847890ce0,missing_inventory_signal,latent,purchase_order_line,POL-00000016,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
ed9b8c7d-2e31-52df-bdc4-74c5717300b5,missing_inventory_signal,latent,purchase_order_line,POL-00000017,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
82b5216c-1eab-590c-9834-32a05250f3c7,supplier_deterioration,visible,purchase_order_line,POL-00000024,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
48d368d5-2563-58aa-95ee-27672f36b725,demand_shock,visible,purchase_order_line,POL-00000025,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
cd1c4333-c040-5344-b4ac-47bb44946787,split_schedule,visible,purchase_order_line,POL-00000025,2026-05-18,2026-06-01,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
b8b27154-1686-59f2-9cc5-e3cd4d8a56c1,split_schedule,visible,purchase_order_line,POL-00000026,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
c19cadb1-5ccc-53d6-98ea-8d970700849e,missing_inventory_signal,latent,purchase_order_line,POL-00000030,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
027e6d0c-80a6-5f84-82a1-90e2b3f64eee,demand_shock,visible,purchase_order_line,POL-00000032,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
af3ae0ce-91ec-5771-8881-68d7bd79ef6a,split_schedule,visible,purchase_order_line,POL-00000037,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
3a806afb-0ab9-5235-9981-067a564aff9a,split_schedule,visible,purchase_order_line,POL-00000038,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
a66fcb18-2a40-5224-91e2-af6275bb0db0,split_schedule,visible,purchase_order_line,POL-00000048,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
f6b66212-2c1d-5bb5-bd13-02db21a6c7ca,missing_supplier_signal,latent,purchase_order_line,POL-00000050,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
26c64d8f-fb24-5a4a-90d3-9060b44deef5,demand_shock,visible,purchase_order_line,POL-00000051,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
330924c0-a71e-5ceb-a4fb-023c1217eb55,split_schedule,visible,purchase_order_line,POL-00000054,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
cb406eee-e71a-58f3-9a3d-f629cc926955,missing_supplier_signal,latent,purchase_order_line,POL-00000057,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
8964d56d-1702-5191-9df7-14023e2e1e5c,demand_shock,visible,purchase_order_line,POL-00000058,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
41ee4f90-f2a4-5a73-a1e2-f71ba583c666,missing_supplier_signal,latent,purchase_order_line,POL-00000058,2026-05-18,2026-06-01,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
3a0e2db4-adf7-5f33-9659-d2a1e9af6cb5,supplier_deterioration,visible,purchase_order_line,POL-00000059,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
82997d4c-0fd3-5dec-95f5-559fab4c8e80,supplier_deterioration,visible,purchase_order_line,POL-00000060,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
bdba19ca-e63e-5485-89ba-5e1789d06922,split_schedule,visible,purchase_order_line,POL-00000064,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
5fb50fd7-b0d2-5543-8698-399b4f8b5099,split_schedule,visible,purchase_order_line,POL-00000065,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
aa52d56a-4289-5bd2-b460-1a0f9deea6e8,demand_shock,visible,purchase_order_line,POL-00000066,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
f9b7419a-d261-544e-b526-3ea3f62bbddc,demand_shock,visible,purchase_order_line,POL-00000067,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
af0c3e80-55cd-5dc7-8479-d23c442763a9,missing_supplier_signal,latent,purchase_order_line,POL-00000071,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
eb53618d-a2b1-5537-bc77-47657fc911c5,demand_shock,visible,purchase_order_line,POL-00000072,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
25696470-20e5-56fe-aa1b-99776191aa48,split_schedule,visible,purchase_order_line,POL-00000073,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
066ea922-4197-565c-a5e8-198f34ba0710,demand_shock,visible,purchase_order_line,POL-00000075,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
7ecdd3b1-3066-5251-ad57-3ff5a81a2b79,supplier_deterioration,visible,purchase_order_line,POL-00000075,2026-05-18,2026-06-01,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
b54f142e-810e-577c-8931-2910084fb9fb,missing_supplier_signal,latent,purchase_order_line,POL-00000075,2026-05-19,2026-06-02,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
d03bc8ee-57d5-5a50-997e-23bea692fb3e,split_schedule,visible,purchase_order_line,POL-00000083,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
46d39da9-0e46-584a-a830-da928f525393,demand_shock,visible,purchase_order_line,POL-00000089,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
93337333-0a8e-5184-a0d9-1b993275a389,split_schedule,visible,purchase_order_line,POL-00000091,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
a22ee62f-6bd9-56be-9b7a-8469367c9c99,split_schedule,visible,purchase_order_line,POL-00000092,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
d6a9d532-c3e1-5b45-85b4-584d42a3983c,split_schedule,visible,purchase_order_line,POL-00000095,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
e998778c-940e-5678-b1e4-440458cc4cfd,missing_supplier_signal,latent,purchase_order_line,POL-00000097,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
97911577-2637-5c70-a8ab-c204cd7b3e39,missing_inventory_signal,latent,purchase_order_line,POL-00000099,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
f2007603-1ae9-5678-8de0-d0623e504294,split_schedule,visible,purchase_order_line,POL-00000104,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
761f6b4e-c31b-5609-9dd1-6d14935e0e0a,split_schedule,visible,purchase_order_line,POL-00000106,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
98f200ac-eb12-5833-acd6-2403a53b3358,demand_shock,visible,purchase_order_line,POL-00000109,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
21333272-ca41-5fe3-a25f-6657a60b49d5,missing_supplier_signal,latent,purchase_order_line,POL-00000112,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
7d4a5fd8-ad84-5439-99a0-aa69ffa474c5,split_schedule,visible,purchase_order_line,POL-00000115,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
68fa86eb-210e-5c10-abb6-0352ab547678,split_schedule,visible,purchase_order_line,POL-00000122,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
b655538b-1456-5fb7-9c85-86e8639090eb,split_schedule,visible,purchase_order_line,POL-00000123,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
88d0f23a-2a2d-5925-9093-e87655bbe514,demand_shock,visible,purchase_order_line,POL-00000124,2026-05-17,2026-05-31,1.0.0:20260720:scenario,controlled synthetic behaviour coverage,
