id,source_load_id,po_line_id,delivery_schedule_id,source_commitment_ref,committed_quantity,committed_date,channel,observed_at,supersedes_commitment_id,scenario_ids,scenario_types
9891efe4-222c-51ca-905a-b74bc2e3f025,125bbdd1-36ce-5f61-836e-13fa1af040d9,bc1b72de-5c04-5c9e-a521-5dafe99d39ad,ebd525b6-9804-5be2-b2ee-d1aa07819847,COM-POL-00000001,181.0000,2025-11-27,portal,2025-11-16T10:00:00+10:00,,,
c8ade0c2-be3d-5d8a-a2ed-a1b5c90db11d,125bbdd1-36ce-5f61-836e-13fa1af040d9,3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0,9965cbd7-5b55-5a23-bc53-ff5baae19d7f,COM-POL-00000002,5520.0000,2024-11-27,portal,2024-11-20T10:00:00+10:00,,,
d2e275d3-e69f-5554-8d84-352c9d719a6d,125bbdd1-36ce-5f61-836e-13fa1af040d9,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,d77a6bca-2f13-5da9-ac56-f14963d3c63d,COM-POL-00000003,9120.0000,2025-04-20,email_extract,2025-04-13T10:00:00+10:00,,f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,demand_shock
d0bda1b4-312a-5c9c-9ce7-d7d706a5b738,125bbdd1-36ce-5f61-836e-13fa1af040d9,5f1ef0f1-e915-5eea-80fc-279e37c35736,ded9681b-17c2-506e-a867-c140211c5158,COM-POL-00000004,75360.0000,2026-04-04,portal,2026-03-16T10:00:00+10:00,,,
e12da453-be9a-57bc-b506-701502542521,125bbdd1-36ce-5f61-836e-13fa1af040d9,9bb31f47-5933-5c0b-96a9-a7cab9768925,7967e169-c3f5-562a-941b-13435f27c445,COM-POL-00000005,1896.0000,2025-07-23,portal,2025-06-29T10:00:00+10:00,,,
bc571eee-966d-573f-ab5e-9a11905170ca,125bbdd1-36ce-5f61-836e-13fa1af040d9,169c8472-68ac-5f94-a83e-4407991dbbed,0795bf89-f47d-5fa3-9d75-4cb6f37ba46a,COM-POL-00000006,4800.0000,2026-01-16,portal,2025-12-16T10:00:00+10:00,,,
e4e5d551-4977-5501-99fd-cad76d940861,125bbdd1-36ce-5f61-836e-13fa1af040d9,a6f46d12-2805-52d3-813c-4a7419e40b54,ee588271-e8fa-53d0-99d3-f712f6171e46,COM-POL-00000007,117.0000,2024-11-07,portal,2024-11-05T10:00:00+10:00,,,
d2c3936d-85e2-58dd-9222-d9176814221d,125bbdd1-36ce-5f61-836e-13fa1af040d9,6b9730b6-21eb-505f-a45d-9c57d3c86fc7,dddf0697-4cf2-5ef4-9a3f-03aab8307cd2,COM-POL-00000008,168.0000,2026-03-14,email_extract,2026-03-06T10:00:00+10:00,,9f7993a5-8e41-5a73-aebb-922cc38f1e39,split_schedule
d207dba4-27b0-583e-a2c8-1ca81dfd1627,125bbdd1-36ce-5f61-836e-13fa1af040d9,79420c16-afb5-56df-a2b4-d93e71e71f5d,10e8b6e0-191f-504a-a2fa-41e60e5d25ae,COM-POL-00000009,5616.0000,2025-11-15,portal,2025-10-26T10:00:00+10:00,,,
d21ec349-7106-504c-bb2f-32a293df6e45,125bbdd1-36ce-5f61-836e-13fa1af040d9,a0a10f6d-12c8-5674-9741-c3731075b0f2,b14c44df-0c74-5a05-8bac-5fc6eabaffb8,COM-POL-00000010,48480.0000,2025-05-29,portal,2025-05-26T10:00:00+10:00,,b1d3b62c-1272-57ee-b639-785fa11a605b,split_schedule
0bc064b7-0e17-5cdd-a6bb-2a79eb82ec82,125bbdd1-36ce-5f61-836e-13fa1af040d9,34441233-560b-5b65-a286-5108f76a33ef,c7e5701e-c04d-52ae-bff6-34e65e9b8499,COM-POL-00000012,936.0000,2025-12-25,portal,2025-12-12T10:00:00+10:00,,,
baa4e02d-c487-515d-b9ab-bbe6adae4ec9,125bbdd1-36ce-5f61-836e-13fa1af040d9,25187d66-acb0-5687-9e42-b33e6a037e1c,bba009ae-261d-5922-8312-ec51d4ed246f,COM-POL-00000013,38880.0000,2025-04-02,email_extract,2025-03-27T10:00:00+10:00,,,
3cc41b5d-25b2-5da3-88fc-5495a57409ec,125bbdd1-36ce-5f61-836e-13fa1af040d9,08744c8d-0e61-5f54-b4a6-d04b0ab974a6,,COM-POL-00000014,8880.0000,2025-01-06,portal,2024-12-19T10:00:00+10:00,,f014c724-3882-5284-8fe6-db2ca6ac0f74,demand_shock
38d18d44-7a34-51f0-a7ba-c67c07158a0c,125bbdd1-36ce-5f61-836e-13fa1af040d9,c5ca62a4-2f0f-5b33-806a-6be8fce15bf5,218fcf71-8a95-5fc4-920f-7457347dc297,COM-POL-00000015,22680.0000,2025-07-28,portal,2025-07-16T10:00:00+10:00,,,
f15ba86d-838e-555e-a213-81f6917f8a7b,125bbdd1-36ce-5f61-836e-13fa1af040d9,e05643b4-50bf-5570-ae8b-26fb0498c7ed,5fec8aa6-8e67-5961-88c2-cbcdb27b0e3d,COM-POL-00000016,3816.0000,2025-12-28,portal,2025-12-26T10:00:00+10:00,,651aa80e-cd35-59f5-a1ae-f63847890ce0,missing_inventory_signal
e40a7b18-7a05-565f-83de-2d9fd15a0f91,125bbdd1-36ce-5f61-836e-13fa1af040d9,3b61bbac-32ae-53ef-a93b-14c36ce3f69e,0d0d5e1e-b128-5439-9e12-070703d3b97e,COM-POL-00000017,19.0000,2025-06-03,portal,2025-05-13T10:00:00+10:00,,ed9b8c7d-2e31-52df-bdc4-74c5717300b5,missing_inventory_signal
f0a6113c-31a2-5514-9d63-0fe86712b27c,125bbdd1-36ce-5f61-836e-13fa1af040d9,fbc77c24-ce2c-5380-80fc-2c89e3eabce8,81f9e8eb-1a83-58ac-8ce4-9149c95e3e15,COM-POL-00000018,9312.0000,2025-06-26,portal,2025-05-27T10:00:00+10:00,,,
6383b13e-2520-59f7-9876-4cf292071d51,125bbdd1-36ce-5f61-836e-13fa1af040d9,b0ee4c5a-a8c3-5b7a-b085-850298a7b7e1,bad7a2db-4856-5c69-949e-db85e18733d2,COM-POL-00000019,200.0000,2025-08-16,email_extract,2025-08-13T10:00:00+10:00,,,
ca3a8cbc-c1b4-589e-b7c5-12534cf9675c,125bbdd1-36ce-5f61-836e-13fa1af040d9,ec607270-f5c5-5f93-82ba-c63e80a5f2b4,,COM-POL-00000020,5184.0000,2026-03-15,portal,2026-03-18T10:00:00+10:00,,,
