id,product_id,from_uom,to_uom,conversion_factor,effective_from,effective_to
f38592a1-c752-5612-a903-aa5f9b48319e,809cf264-7def-5354-9470-0a2384ba5a22,EA,EA,1,2024-07-01T09:00:00+10:00,
229dacef-3a09-57ba-9785-d581ef95c505,809cf264-7def-5354-9470-0a2384ba5a22,CASE,EA,48,2024-07-01T09:00:00+10:00,
34988f0c-96b6-59c3-b1e2-a03d7a087434,809cf264-7def-5354-9470-0a2384ba5a22,PALLET,EA,120,2024-07-01T09:00:00+10:00,
6deaa137-70ab-5ce5-bc17-704aa57fa6fd,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,EA,EA,1,2024-07-01T09:00:00+10:00,
4540c185-57a3-5dc7-bce3-0703c94acb26,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,CASE,EA,12,2024-07-01T09:00:00+10:00,
aeaeee68-3b38-57ff-b5a6-8c8015352401,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,PALLET,EA,120,2024-07-01T09:00:00+10:00,
a0be90c7-9a09-55d3-82f0-7c45873e8e5e,c893506d-df7e-55aa-9afa-b952b5e81a69,EA,EA,1,2024-07-01T09:00:00+10:00,
a97f51c3-a410-5c88-bc04-97c20cce37d3,c893506d-df7e-55aa-9afa-b952b5e81a69,CASE,EA,24,2024-07-01T09:00:00+10:00,
e832366c-7196-5fa0-a3b2-34cbb4e5289b,c893506d-df7e-55aa-9afa-b952b5e81a69,PALLET,EA,120,2024-07-01T09:00:00+10:00,
1271afe3-0f93-5684-8d62-484e2f3cc399,fe8d9660-d333-56ab-a5ca-bb18ef310089,EA,EA,1,2024-07-01T09:00:00+10:00,
d0ac367e-5854-5074-898e-de90f4f2731d,fe8d9660-d333-56ab-a5ca-bb18ef310089,CASE,EA,6,2024-07-01T09:00:00+10:00,
548be851-15b6-5123-be85-256b2f036089,fe8d9660-d333-56ab-a5ca-bb18ef310089,PALLET,EA,480,2024-07-01T09:00:00+10:00,
d69876aa-5cf2-555d-ba23-90bacba5602f,83051d14-4fa3-53bd-ac60-523a406fc21f,EA,EA,1,2024-07-01T09:00:00+10:00,
49ce3443-4810-5755-971d-b2fb261bb5ea,83051d14-4fa3-53bd-ac60-523a406fc21f,CASE,EA,48,2024-07-01T09:00:00+10:00,
9bf14635-d1ea-52aa-b1da-e282ca334bc7,83051d14-4fa3-53bd-ac60-523a406fc21f,PALLET,EA,480,2024-07-01T09:00:00+10:00,
0f1ea3fb-0814-50d0-90dd-a56706208b19,9de01ee7-8a99-53e4-9894-1eb2457782be,EA,EA,1,2024-07-01T09:00:00+10:00,
9a64e8eb-970f-5990-8fcf-ed989369cad8,9de01ee7-8a99-53e4-9894-1eb2457782be,CASE,EA,6,2024-07-01T09:00:00+10:00,
7caffb63-cac3-5c97-a5d0-e0a9f4a2bc66,9de01ee7-8a99-53e4-9894-1eb2457782be,PALLET,EA,480,2024-07-01T09:00:00+10:00,
67492fa0-1a4e-5d09-8801-fab6e37cf01e,0ddb5f45-3bf7-5460-a1dc-4b0097c4c8d6,EA,EA,1,2024-07-01T09:00:00+10:00,
23e9ae6c-1ce1-5dfd-a684-7e9be01423db,0ddb5f45-3bf7-5460-a1dc-4b0097c4c8d6,CASE,EA,12,2024-07-01T09:00:00+10:00,
2266b04e-b3cd-5139-a213-61b1b37bd663,0ddb5f45-3bf7-5460-a1dc-4b0097c4c8d6,PALLET,EA,120,2024-07-01T09:00:00+10:00,
fdd3f1a8-0b1e-55ac-8f21-b8a40964677c,fadf08a0-1d4f-563b-bd91-b87b31f373eb,EA,EA,1,2024-07-01T09:00:00+10:00,
d6e546a7-5fe6-54c2-ba9c-31309fc7ed91,fadf08a0-1d4f-563b-bd91-b87b31f373eb,CASE,EA,48,2024-07-01T09:00:00+10:00,
90c4b9ec-74bb-5236-945e-acd5dca90e25,fadf08a0-1d4f-563b-bd91-b87b31f373eb,PALLET,EA,240,2024-07-01T09:00:00+10:00,
54870ce5-78e5-525a-9b2d-1cea6c610f72,f6f9c5be-111c-512f-b859-607b24323b36,EA,EA,1,2024-07-01T09:00:00+10:00,
496f8f7a-ddf4-50d7-bc92-78ed6c72178d,f6f9c5be-111c-512f-b859-607b24323b36,CASE,EA,24,2024-07-01T09:00:00+10:00,
8217f91d-1615-55d4-bea3-e51265bd6235,f6f9c5be-111c-512f-b859-607b24323b36,PALLET,EA,120,2024-07-01T09:00:00+10:00,
81506517-e5fb-5009-8fd4-064d40bfdd50,36da40b4-9e68-5588-9074-f6f8ee0422d2,EA,EA,1,2024-07-01T09:00:00+10:00,
b10148f5-0c07-56a7-a475-c212db781e7f,36da40b4-9e68-5588-9074-f6f8ee0422d2,CASE,EA,48,2024-07-01T09:00:00+10:00,
f80af6ff-fa48-55f6-ab43-86c507f89759,36da40b4-9e68-5588-9074-f6f8ee0422d2,PALLET,EA,240,2024-07-01T09:00:00+10:00,
aadd4678-a5a6-52ee-80f2-094baac2d4c8,f3239f2c-2ddf-5cd9-8fe5-d2d009ee11fc,EA,EA,1,2024-07-01T09:00:00+10:00,
6d285082-60b0-591d-8509-661c4f697647,f3239f2c-2ddf-5cd9-8fe5-d2d009ee11fc,CASE,EA,12,2024-07-01T09:00:00+10:00,
57010dc6-e4e8-5bc1-9adf-4ea55580d82d,f3239f2c-2ddf-5cd9-8fe5-d2d009ee11fc,PALLET,EA,120,2024-07-01T09:00:00+10:00,
0e06f748-4bdd-534d-96f1-c6adb4599cf6,0856837c-6661-582a-8826-9267d93a18a5,EA,EA,1,2024-07-01T09:00:00+10:00,
5ec161ee-7308-5695-96a6-7f4b1f4834ee,0856837c-6661-582a-8826-9267d93a18a5,CASE,EA,24,2024-07-01T09:00:00+10:00,
3a136a59-db41-5de0-bf63-ed4ddc309a34,0856837c-6661-582a-8826-9267d93a18a5,PALLET,EA,480,2024-07-01T09:00:00+10:00,
4fe8dd05-aaa8-5bd3-924b-f0c5baf364a9,381d75e6-fb26-5f96-9820-6bdce61f0879,EA,EA,1,2024-07-01T09:00:00+10:00,
511c5365-11e7-5125-ae87-5c4db370d10b,381d75e6-fb26-5f96-9820-6bdce61f0879,CASE,EA,6,2024-07-01T09:00:00+10:00,
36120cbe-100f-51c1-ba39-b3cb3a304f99,381d75e6-fb26-5f96-9820-6bdce61f0879,PALLET,EA,120,2024-07-01T09:00:00+10:00,
8cfe8e6d-5a22-5145-9d45-4f49dd78b922,e6a7fc53-496a-5ae2-a882-4d4bf1223c4c,EA,EA,1,2024-07-01T09:00:00+10:00,
455ae0eb-68b1-5cc4-8ae4-f35cdc43d749,e6a7fc53-496a-5ae2-a882-4d4bf1223c4c,CASE,EA,12,2024-07-01T09:00:00+10:00,
da7d5f98-badc-53ef-ad79-3ed2d660972b,e6a7fc53-496a-5ae2-a882-4d4bf1223c4c,PALLET,EA,120,2024-07-01T09:00:00+10:00,
7637661b-2a9e-56d4-aa7d-0de5ac8a2f51,bba8ffc9-9e7c-5b77-a53d-ae09beffb73b,EA,EA,1,2024-07-01T09:00:00+10:00,
45d67c28-4c01-560e-aac8-c19f36a29555,bba8ffc9-9e7c-5b77-a53d-ae09beffb73b,CASE,EA,24,2024-07-01T09:00:00+10:00,
3809cfe0-d081-5883-86f2-e6ead2563ba8,bba8ffc9-9e7c-5b77-a53d-ae09beffb73b,PALLET,EA,240,2024-07-01T09:00:00+10:00,
7745ff0e-0a2f-520d-96ea-7bc8f3c4d38c,733a52f6-ddae-5ec5-a1d3-e06d5ca3460e,EA,EA,1,2024-07-01T09:00:00+10:00,
91a01ff7-b1e6-5e79-8c22-4651f9edcd8f,733a52f6-ddae-5ec5-a1d3-e06d5ca3460e,CASE,EA,24,2024-07-01T09:00:00+10:00,
46ffb0c3-5769-55a8-8e5a-b3cf125f5a67,733a52f6-ddae-5ec5-a1d3-e06d5ca3460e,PALLET,EA,120,2024-07-01T09:00:00+10:00,
9c1cc00e-f677-5c14-9197-43fcbcf511f2,ce149183-f698-5b38-9d6f-47394dafce45,EA,EA,1,2024-07-01T09:00:00+10:00,
6e311c81-9d59-5e18-95d4-7ad999d78c9b,ce149183-f698-5b38-9d6f-47394dafce45,CASE,EA,48,2024-07-01T09:00:00+10:00,
